# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-05-05	5250	263	223	17	664
2020-05-06	5257	264	220	16	671
2020-05-07	5264	269	205	15	686
2020-05-08	5270	269	199	11	694
2020-05-09	5279	270	188	9	700
2020-05-10	5280	272	185	8	707
2020-05-11	5285	272	184	7	709
2020-05-12	5295	273	181	5	711
2020-05-13	5299	274	176	6	722
2020-05-14	5306	274	166	6	734
2020-05-15	5311	274	167	7	736
2020-05-16	5313	274	160	5	737
2020-05-17	5314	276	158	4	738
2020-05-18	5315	277	160	5	739
2020-05-19	5317	277	16	0	743
2020-05-20	5324	277	14	1	746
2020-05-21	5330	280	16	1	763
2020-05-22	5332	280	15	1	765
2020-05-23	5334	280	11	1	773
2020-05-24	5334	280	11	1	773
2020-05-25	5334	281	13	1	775
2020-05-26	5337	281	13	1	780
2020-05-27	5340	281	7	0	788
2020-05-28	5342	281	9	0	792
2020-05-29	5346	281	5	0	797
2020-05-30	5351	281	2	0	
2020-05-31	5351	281	2	0	
2020-06-01	5352	281	2	0	
2020-06-02	5355	281	8	1	807
2020-06-03	5357	281	8	1	811
2020-06-04	5359	281	10	1	817
2020-06-05	5361	281	8	1	821
2020-06-06	5364	281	3		
2020-06-07	5364	281	3		
2020-06-08	5365	281	10	1	
2020-06-09	5365	281	13	1	826
2020-06-10	5367	282	12	1	831
2020-06-11	5367	282	7	1	835
2020-06-12	5371	282	10	1	836
2020-06-13	5371	282	5		
2020-06-14	5371	282	5		
2020-06-15	5373	282	6	0	844
2020-06-16	5373	282	6	0	847
2020-06-17	5374	282	6	0	848
2020-06-18	5374	282	4	0	851
2020-06-19	5378	282	4	1	870
2020-06-20	5382	282	5		
2020-06-21	5382	282	3		
2020-06-22	5383	282	9	1	877
2020-06-23	5387	282	9	2	877
2020-06-24	5389	282	8	2	878
2020-06-25	5391	282	8	2	885
2020-06-26	5394	282	7	2	886
2020-06-27	5394	282	5		
2020-06-28	5395	282	5		
2020-06-29	5402	282	7	1	886
2020-06-30	5406	282	8	1	890
2020-07-01	5407	282	9	1	893
2020-07-02	5412	282	6	1	895
2020-07-03	5414	282	6	1	895
2020-07-04	5417	282	3		
2020-07-05	5419	282	4		
2020-07-06	5426	282	8	2	896
2020-07-07	5430	282	9	2	896
2020-07-08	5434	282	8	2	898
2020-07-09	5442	282	6	2	898
2020-07-10	5450	282	4	2	902
2020-07-11	5454	282	2		
2020-07-12	5456	282	2		
2020-07-13	5462	282	5	1	908
2020-07-14	5474	282	5	0	909
2020-07-15	5496	282	3	0	909
2020-07-16	5510	282	4	0	909
2020-07-17	5523	282	4	0	912
2020-07-18	5536	282	6		
2020-07-19	5540	282	6		
2020-07-20	5557	282	6	0	915
2020-07-21	5587	282	7	0	916
2020-07-22	5615	282	6	0	920
2020-07-23	5660	282	7	1	924
2020-07-24	5701	282	10	1	924
2020-07-25	5742	282	10		
2020-07-26	5753	282	9		
2020-07-27	5815	282	11	1	925
2020-07-28	5859	282	12	1	926
2020-07-29	5921	282	14	1	931
2020-07-30	5975	282	14	1	933
2020-07-31	6007	283	14	1	936
2020-08-01	6037	283	13		
2020-08-02	6060	283	14		
2020-08-03	6095	283	15	1	936
2020-08-04	6128	283	20	1	936
2020-08-05	6159	283	20	1	937
2020-08-06	6194	283	16	2	941
2020-08-07	6239	283	16	2	945
2020-08-08	6265	283	12		
2020-08-09	6298	283	13		
2020-08-10	6334	283	16	2	946
2020-08-11	6390	283	15	2	948
2020-08-12	6422	283	19	2	949
2020-08-13	6465	283	17	2	951
2020-08-14	6494	283	20	2	952
2020-08-15	6521	284	11		
2020-08-16	6540	284	18	2	958
2020-08-17	6581	284	18	0	959
2020-08-18	6619	284	15	0	961
2020-08-19	6649	284	11	0	962
2020-08-20	6689	284	14	0	965
2020-08-21	6729	284	16	0	968
2020-08-22	6744	284	16	0	
2020-08-23	6765	284	16	0	
2020-08-24	6792	284	16	0	971
2020-08-25	6827	284	14	0	973
2020-08-26	6865	284	19	0	
2020-08-27	6913	284	19	0	
2020-08-28	6957	284	18	0	
2020-08-29	7001	284	18	0	
2020-08-30	7034	284	18	0	
2020-08-31	7073	285	12	0	
2020-09-01	7128	285	11	0	
2020-09-02	7175	286	16	0	
2020-09-03	7227	286	21	0	
2020-09-04	7271	287	16	0	
2020-09-05	7304	288	13		
2020-09-06	7325	288	12		
2020-09-07	7365	288	14	1	
2020-09-08	7406	288	20	1	
2020-09-09	7448	289	18	1	
2020-09-10	7497	289	12		
2020-09-11	7538	289	18	1	
2020-09-12	7595	290	15		
2020-09-13	7620	290	17		
2020-09-14	7670	290	21	0	
2020-09-15	7731	291	29	2	
2020-09-16	7803	291	29	1	
2020-09-17	7861	291	28	1	
2020-09-18	7922	292	27	1	
2020-09-19	7970	292	22	1	
2020-09-20	7995	292	23	1	
2020-09-21	8041	293	33	1	
2020-09-22	8108	293	27	1	
2020-09-23	8157	294	24	1	
2020-09-24	8197	294	24	2	
2020-09-25	8236	294	24	2	
2020-09-26	8268	294	23	2	
2020-09-27	8283	294	25	2	
2020-09-28	8318	295	26	1	
2020-09-29	8373	295	27	1	
2020-09-30	8433	295	26	1	
2020-10-01	8509	296	31	4	
2020-10-02	8571	296	27	3	
2020-10-03	8638	296	40	3	
2020-10-04	8675	297	42	3	
2020-10-05	8765	297	39	4	
2020-10-06	8899	297	41	5	
2020-10-07	9012	297	48	6	
2020-10-08	9167	297	50	7	
2020-10-09	9332	298	58	4	
2020-10-10	9505	299	55	4	
2020-10-11	9586	299	57	4	
2020-10-12	9775	300	63	5	
2020-10-13	10082	301	67	4	
2020-10-14	10354	301	76	4	
2020-10-15	10619	302	78	5	
2020-10-16	11008	302	93	6	
2020-10-17	11306	303	99	6	
2020-10-18	11460	303	110	6	
2020-10-19	11821	303	134	6	
2020-10-20	12461	303	169	7	
2020-10-21	13013	303	200	7	
2020-10-22	13793	304	207	10	
2020-10-23	14645	307	228	9	
2020-10-24	15244	307	260	12	
2020-10-25	15639	309	296	12	
2020-10-26	16408	309	331	12	
2020-10-27	17618	310	359	16	
2020-10-28	18818	312	403	17	
2020-10-29	19838	316	419	15	
2020-10-30	21206	319	458	17	
2020-10-31	21971	324	456	16	
2020-11-01	22335	329	474	17	
2020-11-02	23043	334	493	17	
2020-11-03	24134	342	521	20	
2020-11-04	25467	348	540	25	
2020-11-05	26647	357	551	28	
2020-11-06	27580	369	545	24	
2020-11-07	28232	375	554	23	
2020-11-08	28569	379	580	27	
2020-11-09	29524	394	631	26	
2020-11-10	30403	403	638	29	
2020-11-11	31207	413	620	28	
2020-11-12	31871	424	629	30	
2020-11-13	32411	430	629	29	
2020-11-14	32765	445	635	32	
2020-11-15	32942	451	639	32	
2020-11-16	33387	464	642	31	
2020-11-17	33824	478	606	30	
2020-11-18	34165	495	568	27	
2020-11-19	34489	504	533	28	
2020-11-20	34729	515	497	27	
2020-11-21	34886	523	466	29	
2020-11-22	35010	525	461	29	
2020-11-23	35258	533	460	28	
2020-11-24	35583	537	445	26	
2020-11-25	35780	540	418	26	
2020-11-26	35974	548	373	25	
2020-11-27	36187	555	355	24	
2020-11-28	36316	562	337	20	
2020-11-29	36380	565	337	19	
2020-11-30	36581	571	344	18	
2020-12-01	36780	578	313	18	
2020-12-02	36942	581	310	18	
2020-12-03	37123	586	290	16	
2020-12-04	37271	587	259	18	
2020-12-05	37358	592	243	22	
2020-12-06	37410	596	242	21	
2020-12-07	37637	599	236	20	
2020-12-08	37814	605	223	21	
2020-12-09	37996	607	217	19	
2020-12-10	38124	608	198	16	
2020-12-11	38271	608	198	17	
2020-12-12	38370	610	201	19	
2020-12-13	38445	610	203	18	
2020-12-14	38621	611	212	20	
2020-12-15	38828	614	197	20	
2020-12-16	38953	618	190	19	
2020-12-17	39107	620	163	17	
2020-12-18	39281	622	156	16	
2020-12-19	39383	626	153	16	
2020-12-20	39472	626	147	12	
2020-12-21	39653	626	151	13	
2020-12-22	39811	628	139	13	
2020-12-23	39988	629	137	12	
2020-12-24	40116	631	124	12	
2020-12-25	40159	632	133	13	
2020-12-26	40245	636	141	12	
2020-12-27	40308	641	144	11	
2020-12-28	40489	642	144	11	
2020-12-29	40658	645	146	11	
2020-12-30	40834	647	138	7	
2020-12-31	40951	650	122	6	
2021-01-01	40998	652	120	7	
2021-01-02	41104	655	123	5	
2021-01-03	41174	656	131	4	
2021-01-04	41316	657	135	5	
2021-01-05	41470	659	127	5	
2021-01-06	41602	662	120	6	
2021-01-07	41738	663	117	5	
2021-01-08	41859	664	124	6	
2021-01-09	41952	667	117	5	
2021-01-10	42018	667	123	5	
2021-01-11	42174	667	132	6	
2021-01-12	42323	669	121	7	
2021-01-13	42466	669	118	6	
2021-01-14	42609	669	128	7	
2021-01-15	42746	669	115	7	
2021-01-16	42851	672	114	6	
2021-01-17	42883	672	114	5	
2021-01-18	43076	673	113	6	
2021-01-19	43227	674	114	8	
2021-01-20	43360	674	116	9	
2021-01-21	43479	675	117	8	
2021-01-22	43596	676	125	8	
2021-01-23	43672	676	122	7	
2021-01-24	43731	678	128	6	
2021-01-25	43875	678	124	6	
2021-01-26	44017	680	118	7	
2021-01-27	44137	681	128	9	
2021-01-28	44294	681	127	8	
2021-01-29	44294	681	120	11	
